"landCtry","vslFlgCtry","vslLenCls","stock","gearType","year","tons","no_trips","foreign"
"DEU","DEU","VL0008","her.27.20-24","Passive","2018",514.553,438,"landed_home"
"DEU","DEU","VL0008","spr.27.2232","Passive","2018",0.03,1,"landed_home"
"DEU","DEU","VL0810","her.27.20-24","Active","2018",3.542,8,"landed_home"
"DEU","DEU","VL0810","her.27.20-24","Passive","2018",994.636,1092,"landed_home"
"DEU","DEU","VL1012","her.27.20-24","Active","2018",214.726,71,"landed_home"
"DEU","DEU","VL1012","her.27.20-24","Passive","2018",1425.373,951,"landed_home"
"DEU","DEU","VL1012","spr.27.2232","Active","2018",0.08,2,"landed_home"
"DEU","DEU","VL1218","her.27.20-24","Active","2018",1908.843,248,"landed_home"
"DEU","DEU","VL1218","her.27.20-24","Passive","2018",284.131,120,"landed_home"
"DEU","DEU","VL1218","spr.27.2232","Active","2018",1094.046,179,"landed_home"
"DEU","DEU","VL1218","spr.27.2232","Passive","2018",0.238,3,"landed_home"
"DEU","DEU","VL1824","her.27.20-24","Active","2018",3026.332,194,"landed_home"
"DEU","DEU","VL1824","her.27.20-24","Passive","2018",7.457,1,"landed_home"
"DEU","DEU","VL1824","spr.27.2232","Active","2018",398.746,108,"landed_home"
"DEU","DEU","VL2440","her.27.20-24","Active","2018",3017.384,145,"landed_home"
"DEU","DEU","VL2440","spr.27.2232","Active","2018",30.069,66,"landed_home"
"DEU","DEU","VL40XX","her.27.20-24","Active","2018",101.534,1,"landed_home"
"DNK","DEU","VL0008","her.27.20-24","Passive","2018",0.44,1,"landed_abroad"
"DNK","DEU","VL2440","her.27.25-2932","Active","2018",940.775,6,"landed_abroad"
"DNK","DEU","VL2440","spr.27.2232","Active","2018",2324.418,6,"landed_abroad"
"DNK","DEU","VL40XX","her.27.20-24","Active","2018",30.932,1,"landed_abroad"
"DNK","DEU","VL40XX","her.27.25-2932","Active","2018",3084.756,19,"landed_abroad"
"DNK","DEU","VL40XX","spr.27.2232","Active","2018",11620.361,19,"landed_abroad"
"DNK","DEU","VL40XX","spr.27.3a","Active","2018",34.861,1,"landed_abroad"
"DNK","DNK","VL0008","her.27.20-24","Passive","2018",9.0632,154,"landed_home"
"DNK","DNK","VL0810","her.27.20-24","Active","2018",1.5005,2,"landed_home"
"DNK","DNK","VL0810","her.27.20-24","Passive","2018",17.313,137,"landed_home"
"DNK","DNK","VL1012","her.27.20-24","Active","2018",0.0105,2,"landed_home"
"DNK","DNK","VL1012","her.27.20-24","Passive","2018",68.609,34,"landed_home"
"DNK","DNK","VL1218","her.27.20-24","Active","2018",3653.1312000001,220,"landed_home"
"DNK","DNK","VL1218","her.27.20-24","Passive","2018",0.0035,5,"landed_home"
"DNK","DNK","VL1218","her.27.25-2932","Active","2018",301.8859999999,23,"landed_home"
"DNK","DNK","VL1218","spr.27.2232","Active","2018",7827.68,124,"landed_home"
