"vslFlgCtry","stock","gearType","year","DEU","DNK","EST","FIN","LTU","LVA","NOR","POL","SWE"
"DEU","her.27.20-24","Active","2018",8272.361,30.932,0,0,0,0,0,0,73.415
"DNK","her.27.20-24","Active","2018",0,5209.9462,0,0,0,0,0.98,0,531.078
"FIN","her.27.20-24","Active","2018",0,0.536,0,0,0,0,0,0,0
"POL","her.27.20-24","Active","2018",0,29,0,0,0,0,0,1065.258,6.1
"SWE","her.27.20-24","Active","2018",0,4649,0,0,0,0,0,0,13649.473
"DEU","her.27.25-2932","Active","2018",0,4025.531,0,0,0,0,0,0,0
"DNK","her.27.25-2932","Active","2018",0,11367.5072768437,0,0,0,0,0,0,0
"EST","her.27.25-2932","Active","2018",0,0,18484.671,1379.915,0,463.057,0,0,727.052
"FIN","her.27.25-2932","Active","2018",0,6677.207,3636.699,28866.677,0,0,0,0,4519.522
"LTU","her.27.25-2932","Active","2018",0,3231.006,15.25,198,552.24,1169.312,0,671.5,75
"LVA","her.27.25-2932","Active","2018",0,260.583,0,0,0,9453.406,0,123.48,0
"POL","her.27.25-2932","Active","2018",0,8502.513,0,0,0,559.89,0,38124.889,685
"SWE","her.27.25-2932","Active","2018",0,32229.128,0,0,0,0,0,0,34620.544
"EST","her.27.28","Active","2018",0,0,4273.25,0,0,1333.504,0,0,0
"LVA","her.27.28","Active","2018",0,0,0,0,0,14524.727,0,0,0
"FIN","her.27.3031","Active","2018",0,1374.075,1587,67756.588,0,0,0,0,7094.543
"SWE","her.27.3031","Active","2018",0,321,0,0,0,0,0,0,15550.305
"DEU","spr.27.2232","Active","2018",1522.941,13944.779,0,0,0,0,0,0,0
"DNK","spr.27.2232","Active","2018",0,25068.1307631563,0,0,0,0,0,0,0
"EST","spr.27.2232","Active","2018",0,0,26845.885,1030.256,0,802.066,0,0,946.594
"FIN","spr.27.2232","Active","2018",0,2871.573,2460.39,8567.887,0,0,0,0,2566.861
"LTU","spr.27.2232","Active","2018",0,11952.541,41.25,522,49.3,2623.243,0,901.75,297.5
"LVA","spr.27.2232","Active","2018",0,1878.6,0,0,0,35206.445,0,14.08,0
"POL","spr.27.2232","Active","2018",0,18557.956,0,0,0,1023.91,0,58981.849,1141.12
"SWE","spr.27.2232","Active","2018",0,29939.072,0,0,0,0,0,0,19196.064
"DEU","spr.27.3a","Active","2018",0,34.861,0,0,0,0,0,0,0
"DNK","spr.27.3a","Active","2018",0,3312.32,0,0,0,0,0,0,0
"SWE","spr.27.3a","Active","2018",0,52.84,0,0,0,0,0,0,1000.806
