"vslFlgCtry","stock","gearType","year","DEU","DNK","EST","FIN","LTU","LVA","NOR","POL","SWE"
"DEU","her.27.20-24","Active","2018",667,1,0,0,0,0,0,0,1
"DNK","her.27.20-24","Active","2018",0,293,0,0,0,0,1,0,5
"FIN","her.27.20-24","Active","2018",0,1,0,0,0,0,0,0,0
"POL","her.27.20-24","Active","2018",0,3,0,0,0,0,0,326,4
"SWE","her.27.20-24","Active","2018",0,35,0,0,0,0,0,0,273
"DEU","her.27.25-2932","Active","2018",0,25,0,0,0,0,0,0,0
"DNK","her.27.25-2932","Active","2018",0,56,0,0,0,0,0,0,0
"EST","her.27.25-2932","Active","2018",0,0,2527,39,0,54,0,0,39
"FIN","her.27.25-2932","Active","2018",0,39,85,875,0,0,0,0,67
"LTU","her.27.25-2932","Active","2018",0,127,3,8,102,142,0,32,6
"LVA","her.27.25-2932","Active","2018",0,45,0,0,0,2070,0,10,0
"POL","her.27.25-2932","Active","2018",0,402,0,0,0,57,0,4761,13
"SWE","her.27.25-2932","Active","2018",0,95,0,0,0,0,0,0,1363
"EST","her.27.28","Active","2018",0,0,214,0,0,91,0,0,0
"LVA","her.27.28","Active","2018",0,0,0,0,0,2950,0,0,0
"FIN","her.27.3031","Active","2018",0,8,9,968,0,0,0,0,43
"SWE","her.27.3031","Active","2018",0,3,0,0,0,0,0,0,652
"DEU","spr.27.2232","Active","2018",355,25,0,0,0,0,0,0,0
"DNK","spr.27.2232","Active","2018",0,157,0,0,0,0,0,0,0
"EST","spr.27.2232","Active","2018",0,0,2559,39,0,129,0,0,39
"FIN","spr.27.2232","Active","2018",0,42,86,987,0,0,0,0,98
"LTU","spr.27.2232","Active","2018",0,133,3,8,20,147,0,32,6
"LVA","spr.27.2232","Active","2018",0,47,0,0,0,4471,0,10,0
"POL","spr.27.2232","Active","2018",0,430,0,0,0,57,0,4104,13
"SWE","spr.27.2232","Active","2018",0,98,0,0,0,0,0,0,1345
"DEU","spr.27.3a","Active","2018",0,1,0,0,0,0,0,0,0
"DNK","spr.27.3a","Active","2018",0,125,0,0,0,0,0,0,0
"SWE","spr.27.3a","Active","2018",0,9,0,0,0,0,0,0,84
