ctryCode,loCode,sampled,majorPorts90,majorPorts95,majorPorts99,major_Ports90byTrip,major_Ports95byTrip,major_Ports99byTrip
FRA,FRLRT,yes,minor,minor,minor,minor,minor,minor
FRA,FRLSO,yes,minor,minor,minor,minor,minor,major
FRA,FRLTR,no,minor,major,major,major,major,major
FRA,FROI2,no,minor,minor,minor,minor,minor,major
FRA,FROTY,no,minor,minor,minor,minor,minor,minor
FRA,FROUI,no,minor,minor,major,major,major,major
FRA,FRPVU,no,minor,minor,minor,minor,minor,major
FRA,FRQRU,no,minor,minor,minor,minor,minor,major
FRA,FRQUL,no,minor,minor,minor,minor,minor,minor
FRA,FRRO3,no,minor,minor,minor,minor,minor,minor
FRA,FRROS,yes,minor,minor,minor,minor,minor,minor
FRA,FRRTB,yes,major,major,major,major,major,major
FRA,FRRYN,yes,minor,minor,minor,minor,minor,minor
FRA,FRSBI,no,minor,minor,minor,minor,major,major
FRA,FRSML,yes,minor,minor,major,minor,minor,minor
FRA,FRSV3,no,minor,minor,minor,major,major,major
FRA,FRSVS,no,minor,minor,minor,minor,minor,minor
FRA,FRTJE,no,minor,minor,minor,major,major,major
FRA,FRUAT,no,minor,minor,minor,minor,minor,major
FRA,FRVR4,no,minor,minor,minor,minor,minor,major
FRA,FRVRU,no,minor,minor,minor,minor,minor,minor
FRA,FRVS9,no,minor,minor,minor,minor,minor,minor
FRA,FRXGV,yes,minor,minor,minor,minor,minor,major
FRA,FRYYO,no,minor,minor,minor,minor,minor,minor
FRA,FRZJZ,yes,minor,minor,minor,minor,minor,minor
GBR,GBABD,yes,minor,minor,minor,minor,minor,minor
GBR,GBAIT,no,minor,minor,minor,minor,minor,minor
GBR,GBALB,yes,minor,minor,minor,minor,major,major
GBR,GBAMB,yes,minor,minor,major,minor,major,major
GBR,GBANS,no,minor,minor,minor,minor,minor,minor
GBR,GBARB,no,minor,minor,minor,minor,minor,minor
GBR,GBBBP,no,minor,minor,minor,minor,minor,major
GBR,GBBDT,no,minor,minor,minor,minor,minor,major
GBR,GBBID,no,minor,minor,minor,minor,minor,minor
GBR,GBBLI,no,minor,minor,minor,minor,minor,minor
GBR,GBBLS,no,minor,minor,minor,minor,minor,minor
GBR,GBBLY,yes,minor,minor,major,major,major,major
GBR,GBBMX,no,minor,minor,minor,minor,minor,minor
GBR,GBBOS,no,minor,minor,minor,minor,minor,minor
GBR,GBBPT,no,minor,minor,minor,minor,minor,minor
GBR,GBBRT,yes,minor,minor,minor,minor,minor,major
GBR,GBBRX,yes,minor,minor,minor,minor,minor,major
GBR,GBBSH,yes,minor,minor,minor,major,major,major
GBR,GBBSN,no,minor,minor,minor,minor,minor,minor
GBR,GBBUC,yes,minor,minor,major,minor,minor,minor
GBR,GBBUR,no,minor,minor,minor,minor,minor,minor
GBR,GBCAF,no,minor,minor,minor,minor,minor,minor
GBR,GBCAN,yes,minor,minor,minor,minor,major,major
GBR,GBCCH,no,minor,minor,minor,major,major,major
GBR,GBCLS,no,minor,minor,minor,minor,minor,minor
GBR,GBCOW,no,minor,minor,minor,minor,major,major
GBR,GBCRR,yes,minor,minor,minor,minor,minor,minor
GBR,GBCUV,no,minor,major,major,minor,major,major
GBR,GBDEX,no,minor,minor,minor,minor,minor,minor
GBR,GBDNF,no,minor,minor,minor,minor,minor,minor
GBR,GBDSS,yes,minor,minor,minor,major,major,major
GBR,GBDVR,no,minor,minor,minor,minor,minor,minor
GBR,GBDWL,no,minor,minor,minor,minor,minor,minor
GBR,GBEBO,yes,minor,minor,major,major,major,major
GBR,GBEMS,no,minor,minor,minor,minor,minor,major
GBR,GBESH,no,minor,minor,major,major,major,major
GBR,GBEYM,yes,minor,minor,minor,minor,minor,minor
GBR,GBFAV,no,minor,minor,minor,minor,minor,minor
GBR,GBFLE,no,minor,minor,minor,minor,minor,minor
GBR,GBFOL,no,minor,minor,minor,major,major,major
GBR,GBFRB,yes,major,major,major,major,major,major
GBR,GBFWE,no,minor,minor,minor,minor,minor,major
GBR,GBFXT,yes,minor,minor,minor,major,major,major
GBR,GBGDN,no,minor,minor,minor,minor,minor,minor
GBR,GBGSY,yes,minor,minor,major,minor,major,major
GBR,GBGTY,yes,minor,minor,minor,minor,minor,minor
GBR,GBGWG,no,minor,minor,minor,minor,minor,minor
GBR,GBHRN,no,minor,minor,minor,minor,minor,minor
GBR,GBHRW,yes,minor,minor,minor,major,major,major
GBR,GBHRZ,yes,minor,minor,minor,minor,minor,minor
GBR,GBHTG,yes,minor,minor,major,major,major,major
GBR,GBHTP,yes,minor,minor,major,major,major,major
GBR,GBHYG,no,minor,minor,minor,minor,minor,minor
GBR,GBHYT,no,minor,minor,minor,minor,major,major
GBR,GBIPS,no,minor,minor,minor,minor,minor,major
GBR,GBIRO,yes,minor,minor,minor,minor,minor,minor
GBR,GBITC,no,minor,minor,minor,minor,minor,minor
GBR,GBKBE,yes,major,major,major,minor,minor,major
GBR,GBKIM,no,minor,minor,minor,minor,minor,minor
GBR,GBKWL,no,minor,minor,minor,minor,minor,minor
GBR,GBLER,yes,major,major,major,major,major,major
GBR,GBLIT,no,minor,minor,minor,major,major,major
GBR,GBLOE,no,minor,minor,minor,minor,minor,minor
GBR,GBLOS,yes,minor,minor,minor,minor,major,major
GBR,GBLOV,no,minor,minor,major,minor,minor,major
GBR,GBLOW,yes,minor,minor,minor,major,major,major
GBR,GBLSH,no,minor,minor,minor,minor,minor,major
