scenarioName,totalEffort,minorEffortAllocation,portFrameFile,sampleForeignVessels,portAllocation,newAllocationPercentMajor,newAllocationBy,newAllocationAreaSelection,newAllocationISSCAAPSelection,strataType,stratification,samplingExclusions,allocateEffortBy,psu,psuThreshold,fishOfInterest,ctryOfInterest,widerNSea
example1,711,4,portFrame_example,TRUE,majorPorts95,NA,NA,NA,NA,stratified,"landCtry,landLocType","ESP,NOR,GBI,IRL",landWt,siteXday,2,"PLE,POK,COD,HAD,SOL,WHG,HKE,ANF,TUR,GUU,DAB,MUR,LEM,LIN,BLL,FLE,GUG,POL,WIT","BEL,DEU,DNK,FRA,GBE,GBS,NLD,SWE","27.7.d,27.4.a,27.4.b,27.4.c,27.3.a.20,27.3.a.21,27.3.a"
example2,711,NA,portFrame_example,FALSE,new,97,landWt,"27.7.d,27.4.a,27.4.b,27.4.c,27.3.a.20,27.3.a.21,27.3.a ","31,32,33,34",random,"random,landLocType",minor,psu,siteXday,0,"PLE,POK,COD,HAD,SOL,WHG,HKE,ANF,TUR,GUU,DAB,MUR,LEM,LIN,BLL,FLE,GUG,POL,WIT","BEL,DEU,DNK,FRA,GBE,GBS,NLD,SWE","27.7.d,27.4.a,27.4.b,27.4.c,27.3.a.20,27.3.a.21,27.3.a"
example3,711,NA,portFrame_example,FALSE,new,100,fishTripId,"27.7.d,27.4.a,27.4.b,27.4.c,27.3.a.20,27.3.a.21,27.3.a ","31,32,33,34",random,"random,landLocType",minor,psu,siteXday,0,"PLE,POK,COD,HAD,SOL,WHG,HKE,ANF,TUR,GUU,DAB,MUR,LEM,LIN,BLL,FLE,GUG,POL,WIT","BEL,DEU,DNK,FRA,GBE,GBS,NLD,SWE","27.7.d,27.4.a,27.4.b,27.4.c,27.3.a.20,27.3.a.21,27.3.a"
example4,711,NA,portFrame_example,TRUE,none,NA,NA,NA,NA,random,random,"ESP,NOR,GBI,IRL",landWt,siteXday,0,"PLE,POK,COD,HAD,SOL,WHG,HKE,ANF,TUR,GUU,DAB,MUR,LEM,LIN,BLL,FLE,GUG,POL,WIT","BEL,DEU,DNK,FRA,GBE,GBS,NLD,SWE","27.7.d,27.4.a,27.4.b,27.4.c,27.3.a.20,27.3.a.21,27.3.a"
example5,430,NA,portFrame_example,TRUE,major_Ports90byTrip,NA,NA,NA,NA,random,"random,landLocType","ESP,NOR,GBI,IRL,minor",psu,siteXday,0,"PLE,POK,COD,HAD,SOL,WHG,HKE,ANF,TUR,GUU,DAB,MUR,LEM,LIN,BLL,FLE,GUG,POL,WIT","BEL,DEU,DNK,FRA,GBE,GBS,NLD,SWE","27.7.d,27.4.a,27.4.b,27.4.c,27.3.a.20,27.3.a.21,27.3.a"
example6,711,NA,portFrame_example,TRUE,sampNow,NA,NA,NA,NA,sampNow,sampNow,,NA,siteXday,0,"PLE,POK,COD,HAD,SOL,WHG,HKE,ANF,TUR,GUU,DAB,MUR,LEM,LIN,BLL,FLE,GUG,POL,WIT","BEL,DEU,DNK,FRA,GBE,GBS,NLD,SWE","27.7.d,27.4.a,27.4.b,27.4.c,27.3.a.20,27.3.a.21,27.3.a"
example7,430,4,portFrame_example,TRUE,majorPorts95,NA,NA,NA,NA,stratified,"landCtry,landLocType","ESP,NOR,GBI,IRL,minor",psu,siteXday,2,"PLE,POK,COD,HAD,SOL,WHG,HKE,ANF,TUR,GUU,DAB,MUR,LEM,LIN,BLL,FLE,GUG,POL,WIT","BEL,DEU,DNK,FRA,GBE,GBS,NLD,SWE","27.7.d,27.4.a,27.4.b,27.4.c,27.3.a.20,27.3.a.21,27.3.a"
